,<n_e>,<n_e> Err,Blob Size [rhos],Blob Size2 [rhos],Blob Size3 [rhos],Blob size Err [rhos],Blob size2 Err [rhos],Bt,Cs,Efold,EfoldErr,Ip,Ip Err,Lambda Div,Lambda Div Err,Rho,Rhos,Rhos Err,Shots,Tau,Tau Err,Theta Div,Theta Div Err,vBin,vP,vP Err,vP2,vP3,vPExB,vPExB Err,vR,vR Err,vR2,vR3,Z,Mu,Conf
287,5.45639066432e+19,inf,29.415123316,6.00908914089,19.2134915229,48.6555111597,48.6555111597,-1.42485666275,23189.4995897,,,243.77503125,1990.93676758,1.1027289157,0.108180759797,1.05132828825,0.000840985664533,,53579.0,1.01197418451e-05,8.37251684676e-07,,,499.376160156,1850.97235314,137.772116073,149.32278254,0.133158304084,4593.8843741,6909.90116921,1596.70781404,2635.12748646,476.528336982,-15.6988728359,1,2,LSN
288,5.46002389054e+19,inf,61.9350238098,0.997528499467,39.6589154665,112.133863713,112.133863713,-1.42486727238,26939.3429259,,,243.742859375,1992.25854492,0.780523510796,0.0425819474653,1.06512410737,0.000981106598271,,53579.0,2.24718809746e-05,1.46581269222e-06,,,43.5513962493,2076.97051946,2163.98280962,-13.0230232736,0.118670913218,4170.78247596,5231.71579258,1731.4804932,2561.26999775,41.558693195,-15.6991052447,1,2,LSN
289,9.21045409464e+19,inf,,,,,,-1.4253513813,,0.0174526227538,0.000130761674368,163.4105625,111884.078125,1.76596781739,0.0,1.03430794824,,,53579.0,1.9293201538e-05,2.5749257925e-06,,,576.201109235,1902.893787,24.0872631265,172.294231053,0.129525512955,5252.40579858,7176.23992992,1892.08250816,3742.15365446,549.838536509,-15.6989336263,1,2,LSN
290,9.12265677175e+19,inf,36.4293385002,5.6741072841,12.6660964364,102.030355604,102.030355604,-1.42534816265,35371.1341781,0.0204140554279,0.00179603175676,166.104828125,110878.914062,1.16173929857,0.268832898704,1.04361114213,0.00125843545656,9.65606661984e-05,53579.0,1.2392370782e-05,2.187416927e-07,,,576.201109235,3468.56589022,1541.5848401,172.294231053,0.0710625168087,4035.39772832,5461.34932918,1286.23207842,3556.72692099,549.838536509,-15.6996806335,1,2,LSN
291,9.05929499527e+19,inf,35.0086250025,6.89817147183,21.4301780716,64.2798543774,64.2798543774,-1.42535126209,32744.0605718,0.0291413749924,0.00322891055845,170.0609375,109212.609375,0.834676269635,0.0132339963431,1.06097967632,0.0011709069226,5.40966816294e-05,53579.0,2.2644022429e-05,9.80635005488e-07,,,356.699731903,1431.47163723,238.578606206,106.660610323,0.17217276153,4606.56639731,6185.56891132,1108.13984716,2025.7039824,340.37951311,-15.6981139432,1,2,LSN
292,8.98657945348e+19,inf,66.5741246907,5.53101856713,36.2169560779,153.22381542,153.22381542,-1.42537021637,27110.6928334,0.0400861937651,0.00234917208132,173.44303125,107650.507812,0.654740301586,0.105674583269,1.07702592286,0.000974258748803,0.00016915286066,53579.0,2.23006035526e-05,4.60538759488e-09,,,241.636654188,2440.42825896,1839.08424339,72.2547703449,0.100998613589,5307.27899988,7402.98151965,1582.23010237,3440.84771734,230.580833569,-15.6993525344,1,2,LSN
293,5.3645911191e+19,inf,22.8852832276,6.20370819423,9.66446337509,39.2286787481,39.2286787481,-1.42489242554,48064.6461797,0.00809073673107,0.00104764950625,243.8048125,1827.51782227,0.289573674152,0.0721628259518,1.00210746987,0.00171773351412,0.000173203833836,53582.0,5.6898128801e-06,6.4585568417e-07,,,1872.87661327,-6262.6884129,1022.69273531,-560.089625617,-0.0393582606266,6212.66454946,9433.75367967,2917.66583254,4967.5258878,1787.16714938,-15.6999036209,1,2,LSN
294,5.36897157343e+19,inf,28.0760039072,2.07920483482,14.1990311005,57.5129877866,57.5129877866,-1.42487239838,43230.3609272,0.00674798248022,0.00029622836888,243.768796875,1837.56164551,0.253672685495,0.0357478698764,1.01735986559,0.00155255697633,0.000141112077134,53582.0,1.1635494254e-05,4.33305670475e-06,,,277.434194117,3231.85648962,1707.57141856,82.9588919625,0.0762670792616,2391.63415468,4101.62828992,1894.61696195,3682.78023647,264.740541492,-15.6996317915,1,2,LSN
295,5.37230045483e+19,inf,31.6267545427,6.42791128978,17.9392996178,66.0120409954,66.0120409954,-1.42486464977,37139.7262744,1.01672581646,2.98080576999,243.72303125,1853.63269043,0.562649920374,0.163525492731,1.03200394595,0.00133990581137,0.000167740997881,53582.0,1.95466691154e-05,6.13752442944e-07,,,440.627282393,1785.48018674,226.401337278,131.756149125,0.138041864963,4564.75914345,6605.32125268,1229.72213406,2561.67058117,420.467262884,-15.6987884652,1,2,LSN
296,5.37730235313e+19,inf,29.0777418784,0.666204210064,22.6221348168,47.2907723311,47.2907723311,-1.42486214638,27552.201533,0.0287048037225,0.00906941919319,243.672796875,1874.0838623,1.09839785243,0.0322813995038,1.04767316259,0.000998986005859,7.3669731829e-05,53582.0,1.57257485543e-05,4.72284349347e-08,,,42.3209541091,1160.54338951,720.551502951,12.6550355788,0.212353085634,6241.12782911,8312.34040345,1437.08236081,2160.18928481,40.3845667452,-15.6971295447,1,2,LSN
297,5.38157065727e+19,inf,64.32924182,5.65259467101,35.6308740068,111.104679968,111.104679968,-1.42486155033,22777.2806246,0.315502010512,0.609544829983,243.639265625,1895.71057129,0.967794459581,0.12215800865,1.06209323483,0.000828599057257,0.0,53582.0,1.87581151232e-05,1.58959171769e-07,,,249.691111537,2365.90451154,1877.51746264,74.6632042068,0.104179698196,3234.37472674,4574.47825833,1573.91658771,2414.37635888,238.266777202,-15.6993109582,1,2,LSN
298,9.80674124062e+19,inf,21.2412066449,6.15921461712,10.3715376326,83.8272730719,83.8272730719,-1.42540585995,45350.0520812,0.00990527773105,0.000186913384382,181.47040625,102843.070312,1.34162045492,0.10629801444,1.01053750518,0.00159446028575,0.000120355385128,53582.0,1.04876852979e-05,2.1163145527e-07,,,936.395669722,-2818.2097858,313.134420645,-280.019311984,-0.087460636714,8637.96761937,11904.9735311,1576.80216007,6220.21620794,893.546884719,-15.6995150529,1,2,LSN
299,9.75258193666e+19,inf,13.9544930276,3.35081024704,8.31586498075,38.0058688623,38.0058688623,-1.42539668083,39413.9629413,0.00979114503968,0.000183530297538,185.247984375,100611.171875,2.41645321045,0.399908223096,1.03002567807,0.00139409252443,9.85965784318e-05,53582.0,1.06015666819e-05,1.11582097462e-06,,,440.627282393,1473.57374421,0.0,131.756149125,0.167254672885,5820.47226947,7929.63866451,1093.5256473,2976.05563713,420.467262884,-15.6982202951,1,2,LSN
300,9.69231990337e+19,inf,172.885960498,73.6455484671,12.0975162635,401.345784436,401.345784436,-1.42539346218,38939.0459021,0.0121712941067,0.00147529634403,188.585953125,98503.6640625,2.34171697057,0.159636443694,1.0483630432,0.00138426805583,0.000173671995467,53582.0,1.36142978022e-05,6.54308384409e-08,,,7488.09682866,17535.5275561,7515.22609548,2238.31964879,0.0140565987241,6346.65592601,8341.87213446,1230.04546842,2806.39792181,7145.73434051,-15.6999897033,1,2,LSN
301,9.62144978189e+19,inf,60.0337681811,11.9113380549,22.2223494579,132.585286489,132.585286489,-1.42540383339,37827.0300704,0.0301201503009,0.0132688677854,192.320578125,95947.4375,1.19419377659,0.199925960499,1.06550707932,0.00135081350374,0.000283677092359,53582.0,2.14803894969e-05,7.87046527291e-08,,,749.055146065,3507.10551122,1082.3162581,223.978735191,0.0702816415028,7286.00073277,9087.83540363,1397.47231766,3056.04955912,714.784679487,-15.6996876639,1,2,LSN
302,9.55431536111e+19,inf,27.4663524855,8.5136822049,7.44290003039,57.0355312027,57.0355312027,-1.42542338371,30629.8681386,0.25028978104,0.219754261532,196.403640625,92858.671875,0.477756417721,0.151883820129,1.08183506558,0.00109850787527,0.0,53582.0,1.24855252631e-05,6.1211622588e-07,,,749.055146065,2326.1414105,178.933954654,223.978735191,0.105960386859,5557.51767864,7339.16658883,654.845032061,1358.51244835,714.784679487,-15.6992871221,1,2,LSN
303,3.35490134693e+19,inf,14.4058286091,4.05454206294,8.93682717133,47.5086997688,47.5086997688,-1.42410945892,44043.0983049,0.00536345930461,0.000148503646886,245.791125,715.423461914,0.644317561319,0.107755243042,1.00311641174,0.00158128058757,9.6275342842e-05,54867.0,5.99096311679e-06,8.75793447769e-07,,,1070.17328109,2982.23213318,8530.6436099,-320.02618632,0.0826505637684,4823.79716414,7392.07855508,2358.82462241,3855.97114932,1021.20227753,-15.6995648341,1,2,LSN
304,3.35034607025e+19,inf,8.75441027251,2.03303271449,1.72913553439,35.4306384624,35.4306384624,-1.42410230637,35156.5671662,0.0102363548394,0.00367803224478,245.783984375,713.636962891,0.41912430385,0.0378340820462,1.01726477086,0.00126856572502,9.98374437013e-05,54867.0,3.78734493134e-06,4.17987104189e-07,,,680.961376955,2874.5102937,443.733502531,203.618350049,0.0857476997223,3920.85994017,5838.80319002,579.171448223,2341.43072623,649.806097561,-15.6995316123,1,2,LSN
