,<n_e>,<n_e> Err,Blob Size [rhos],Blob size Err [rhos],Cs,Ip,Ip Err,Lambda Div,Lambda Div Err,Rho,Rhos,Rhos Err,Shots,Tau,Tau Err,Theta Div,Theta Div Err,vP,vP Err,vPExB,vPExB Err,vR,vR Err,Z,Mu,Conf
24,7.70252139605e+19,inf,22.6293673578,,31706.8563392,134334.859375,83297.7578125,,,1.05976350946,0.00115852531251,0.0,57437.0,1.21846972821e-05,2.90309561306e-07,,,inf,,2028.50583737,2660.45568824,717.343726034,978.961701192,1,2,LSN
25,2.49957717793e+19,inf,36.6919290018,,51741.0221702,241327.265625,657.343505859,0.233191066651,0.171590613718,1.00740294098,0.00249026866381,9.8930305111e-05,57454.0,6.83436442868e-06,5.14574514443e-07,,,inf,,13031.1734225,18933.0648776,2989.12847726,4137.19708558,1,2,LSN
26,2.49340825799e+19,inf,36.7844254232,,41817.757684,241320.5,652.111328125,0.102660250199,0.0268297902927,1.02079399078,0.00202251471108,0.000295963703717,57454.0,9.00386527678e-06,1.85083127673e-06,,,inf,,7707.46743964,11156.2696739,2978.02492934,4859.84703086,1,2,LSN
27,2.48593355804e+19,inf,24.784668917,,36542.139452,241315.15625,650.640441895,0.0777882361086,0.00167099700114,1.03368230623,0.00177536357886,0.00019010050982,57454.0,6.38376965496e-06,6.12263378984e-08,,,inf,,6437.33756739,8989.81581459,2463.90731232,3295.21239815,1,2,LSN
28,2.47841883587e+19,inf,2.5032345784,,32372.4445129,241311.96875,648.713806152,0.127186571683,0.0270805188622,1.05026325351,0.00158043177155,5.88459871778e-05,57454.0,2.35907666689e-07,3.68432515031e-09,,,inf,,6666.66966753,10636.1615822,15388.0227206,20512.1154738,1,2,LSN
29,2.47324805259e+19,inf,10.0461750908,,33325.1849256,241313.640625,651.276367188,0.132628288407,0.0,1.06429562766,0.00163480752644,0.000186861010447,57454.0,5.026832629e-06,4.83175439423e-07,,,inf,,3005.71813803,4255.81718336,1280.67089278,1669.09984297,1,2,LSN
30,9.5854148276e+19,inf,13.5459681989,24.9426062318,50501.820409,192459.828125,96274.1796875,14.8384637672,20.9792464025,1.01059945982,0.00238682444586,0.000122155868037,57454.0,5.41216555077e-06,2.48404431766e-09,,,6816.0963573,9351.22341585,5898.051649,6554.31323253,949.06046758,1165.56827922,1,2,LSN
31,9.56262678941e+19,inf,12.3795167546,,43686.4116554,199017.203125,91033.15625,5.41478053004,0.723574545575,1.02224009068,0.00207433224197,0.000298404315889,57454.0,5.7016032236e-06,7.79325254839e-09,,,inf,,4475.54828209,5142.71401169,504.217404461,725.508463242,1,2,LSN
32,9.54424999187e+19,inf,8.14981394703,,39634.3135268,224520.875,60586.4648438,2.49101093345,0.425735419171,1.04201098551,0.00188987338842,0.000258469084948,57454.0,5.04059422374e-06,2.44235536154e-07,,,inf,,2931.02387909,3849.67233323,863.645459196,1187.95781911,1,2,LSN
33,9.527355336e+19,inf,12.5973917347,,32372.4445129,227712.21875,54826.3398438,1.87827415206,0.264986704746,1.05883260153,0.00155164348534,0.0,57454.0,5.45723160473e-06,2.40200073295e-07,,,inf,,3359.39444252,4506.43443157,1242.45435361,1539.36021884,1,2,LSN
34,9.51251192902e+19,inf,19.8347150933,,31121.4743054,230677.828125,48698.296875,1.554185897,0.0,1.07416143981,0.00150101178051,0.0,57454.0,1.29822262664e-05,2.90961799914e-07,,,inf,,2150.41121133,2941.71681991,796.841922669,1058.31446256,1,2,LSN
35,2.58199371082e+19,inf,51.0369266302,73.0639901553,53506.9999733,186743.96875,1338.34777832,0.134403372392,0.0594018002069,1.00582877656,0.00332355323506,,57461.0,8.11841887916e-06,6.86098275474e-07,,,4294.41319325,584.395614896,20540.0154088,26393.6623176,3828.20542877,5446.00575157,1,2,LSN
36,2.57724843853e+19,inf,3.59733268624,,47087.8900559,186746.15625,1337.74707031,0.0681169964115,0.00323917397467,1.01881588151,0.00293587394246,,57461.0,2.8132858059e-07,7.48427183942e-09,,,inf,,2285.646223,21193.4854776,37471.2099351,56377.5490518,1,2,LSN
37,2.57395034346e+19,inf,41.6985689886,81.5259423124,37876.603414,186750.640625,1344.30737305,0.0589360524814,0.0105915895783,1.03728403804,0.00237288658243,,57461.0,7.64129527611e-06,1.3419376269e-07,,,-25050.7436273,4090.76930427,12136.5129869,20210.8619364,4514.16990664,8794.57305088,1,2,LSN
